제목,작성일,본문,URL
"Domestic chicken franchise outlets top 30,000 as brands consolidate",,"By 
Yeon Ji-yeon
Published 2025.12.28. 10:14
Visitors look around booths to gather startup trends and information at the Franchise Startup and Industry Expo held at COEX in Gangnam District, Seoul. /Courtesy of News1
The number of domestic chicken franchise outlets has topped 30,000 for the first time.
According to the ""2024 franchise statistics results"" from the Ministry of Data and Statistics (MODS) on the 28th, chicken specialty franchises totaled 31,397 last year. That is an increase of 1,592, or 5.3%, from the previous year (29,805).
Among chicken brands, BBQ had the most franchise outlets. According to the Fair Trade Commission's franchise information disclosure system, BBQ had 2,316 outlets last year, up 67 from the previous year.
bhc, which had the most outlets last year, was tallied as having 48 fewer than the year before. bhc had 2,228 outlets.
Kyochon Chicken ranked third with 1,361 franchise outlets. It was followed by Cheogajip Yangnyeom Chicken (1,254) and Goobne Chicken (1,154). However, the number of chicken industry brands totaled 647 last year, down 22 from the previous year.
초고화질 그래픽으로 구현된 광활한 우주 전선을 지금 탐험하세요.
파운데이션: 우주 전선
지금 플레이하기
While the number of chicken franchise outlets has steadily increased, the total number of chicken restaurants, including non-franchise shops, has been declining for three straight years. According to the Ministry of Data and Statistics (MODS) Korean Statistical Information Service (KOSIS), the total number of chicken specialty restaurants nationwide, including franchise outlets and independent shops, was 39,789 in 2023, down by nearly 3,000 from 2020 (42,743).
※ This article has been translated by AI. Share your feedback here.
View Original Article(Korean)
""임플란트 20만 원, 진짜 추가금 없나?"" 뼈 이식까지 무료인 치과 화제
kimplant
더 보기
충격! 발톱무좀이라면 모르면 절대안되는 팩트!
하루만 버티자
더 알아보기
서재걸, 몸속 '이것‘ 바꿔야 다신 살 안 찐다.. 뭐길래!!?
서재걸 면역DIET
Yeon Ji-yeon
What to Read Next
Gas turbine crunch threatens South Korea semiconductor cluster power plans
As construction of natural gas power plants increases worldwide, a shortage of gas turbines—the core equipment—is worsening. It is...
Peptron expands Lilly collaboration to next-gen GLP-1 and Alzheimer's research
Korea's bio corporations Peptron and U.S. drugmaker Eli Lilly and Company have expanded their ongoing joint research on a once...
Choi Dae-hoon secures stardom and love as wife Jang Yoon-seo wins third at Miss International
Actor Choi Dae-hoon is enjoying mainstream popularity following the 'Hak-ssi' trend and the big hit of Manager Kim, and his lo...
Japanese reporter exposes Korea football discord as Son Heung-min leadership falters
Son Heung-min (34, LAFC), Kim Min-jae (30, Bayern Munich), Lee Kang-in (25, Paris Saint-Germain), Hwang Hee-chan (30, Wolverhampto...
Yoo Jeong-su reveals Hermes collection and 80 billion-won Yongsan home
'Hello, I'm Choi Hwajeong' space designer CEO Yoojungsoo ...
굶어도 안빠져?! '이것‘ 먹고 ‘내장지방‘ 싹~ 녹였어요!!
서재걸 면역DIET
중3 아들 키성장 '이 성분' 부족하면 소용없다!? 3개월만에 ''+10cm” 클 수 있던 이유 [+실제후기]
아이클타임
”엄마, 키커서 너무 행복해요!” 6년연속 1위 '이것' 170넘게 키운 [특허성분] 공개돼!
아이클타임
Byun Yo-han and Tiffany confirm relationship, plan marriage - CHOSUNBIZ
Byeon Yo-han and Tiffany Young confirm relationship, plan marriage - CHOSUNBIZ
Son Ah-seop exposes Hwang Jae-kyun dating history, Hwang confirms divorce - CHOSUNBIZ",https://biz.chosun.com/en/en-retail/2025/12/28/3MDGGXGQUVGENJ2236VOFAVYWU/
Household Private Education Costs Drop First Time Since COVID-19,,"By Choi On-jung(ChosunBiz)
Published 2025.12.21. 11:14
Households with children have seen their private education expenses decrease for the first time since the spread of the novel coronavirus disease (COVID-19). This decline is attributed to overall reduced consumption.
According to the National Statistical Portal (KOSIS) on the 21st, the average monthly private education expenditure for married couples with unmarried children in the third quarter of this year was 413,000 Korean won, a 0.7% decrease from a year ago. This marks the first year-on-year decline in private education costs for households with children since the fourth quarter of 2020, five years ago.
The reduction in private education spending aligns with broader consumption trends. The average propensity for consumption among households with unmarried children in the third quarter of this year was 68.0%, down 2.3 percentage points from the previous year. The average propensity for consumption refers to the ratio of consumption expenditure to disposable income, which is calculated by subtracting non-consumption expenses like taxes from total income.
The average disposable income of households with unmarried children increased by 5.3% to 6,661,000 Korean won compared to a year ago, while consumption expenditure rose by only 1.9% to 4,532,000 Korean won.
· This article has been translated by Upstage Solar AI.
원문보기 (View Original Korean Article)
Editor’s Pick
Korean Stock Market Volatility Hits Record High
 3h ago
|
Choi Hyung-seok
Ex-Ssangbangwool Chairman Faces Retrial in North Korea Bribery Case
 2h ago
|
Kim Hyun-soo
Volkswagen Plans Record 100,000 Job Cuts in Restructuring
 2h ago
|
Han Ye-na",https://www.chosun.com/english/market-money-en/2025/12/21/BWMLG3HSDBGX3JUWLDJXGVN7JY/
Households cut hagwon spending as consumption weakens in South Korea,,"By 
Choi On-jung
Published 2025.12.21. 11:12
A view of the private academy district in Mok-dong, Yangcheon-gu, Seoul. /Courtesy of News1
Expenditure on private education by households with children fell for the first time since the spread of the novel coronavirus infection (COVID-19). The decline is seen as the result of weakened consumption affecting private education expenditure.
According to the Korean Statistical Information Service (KOSIS) on the 21st, the average monthly expenditure on students' hagwon tuition by married couples with unmarried children in the third quarter of this year was 413,000 won, down 0.7% from a year earlier. It is the first year-over-year decline in hagwon tuition for households with children in five years, since the fourth quarter of 2020.
The decline in hagwon tuition expenditure is tied to an overall contraction in consumption. In the third quarter of this year, the average propensity to consume among households with unmarried children was 68.0%, down 2.3 percentage points from a year earlier. The average propensity to consume refers to the ratio of consumption expenditure to disposable income, and disposable income is the amount remaining after subtracting non-consumption expenditure such as taxes from income.
The average monthly disposable income of households with unmarried children was 6,661,000 won, up 5.3% from a year earlier, but consumption expenditure rose only 1.9% to 4,532,000 won.
※ This article has been translated by AI. Share your feedback here.
View Original Article(Korean)
초고화질 그래픽으로 구현된 광활한 우주 전선을 지금 탐험하세요.
파운데이션: 우주 전선
""공복혈당"" 300넘는 심각 당뇨환자 ""이것"" 먹자마자..바로
혈당흡수 억제물질발견
""당화혈색소"" 8.1넘는 심각 당뇨환자 ""이것"" 먹자마자..바로
혈당흡수 억제물질발견
Choi On-jung
What to Read Next
Gas turbine crunch threatens South Korea semiconductor cluster power plans
As construction of natural gas power plants increases worldwide, a shortage of gas turbines—the core equipment—is worsening. It is...
Peptron expands Lilly collaboration to next-gen GLP-1 and Alzheimer's research
Korea's bio corporations Peptron and U.S. drugmaker Eli Lilly and Company have expanded their ongoing joint research on a once...
Namkoong Min drama 'The Husband' rises in ratings but Manager Kim dominance persists
'The Husband' set a new personal best rating just two episodes in, signaling a real upward trend. But the wall posed by SBS's Frid...
Kimmich laments Italy missing World Cup, praises Italian players
German national team midfielder Joshua Kimmich (31, Bayern Munich) expressed deep regret over Italy's failure to qualify for the 2...
Japanese reporter exposes Korea football discord as Son Heung-min leadership falters
Son Heung-min (34, LAFC), Kim Min-jae (30, Bayern Munich), Lee Kang-in (25, Paris Saint-Germain), Hwang Hee-chan (30, Wolverhampto...
틀니가 불편하다면 다른 방법도 있다? 튼튼한 임플란트 1개당 ""20만원""부터
실력으로 입소문난 강남치과
공복혈당 치솟던 ''심각환자'', '이것' 먹자마자 수치 뚝! 실제후기 쏟아져..
성균관대 연구 신물질
굶어도 안빠져?! '이것‘ 먹고 ‘내장지방‘ 싹~ 녹였어요!!
서재걸 면역DIET
Miss Finland stripped of crown after racist gesture and remarks - CHOSUNBIZ
Lee Jong-suk and IU end four-year relationship, vow to remain colleagues - CHOSUNBIZ
NHRC rules bakery franchise discriminates by refusing wheelchair user - CHOSUNBIZ",https://biz.chosun.com/en/en-policy/2025/12/21/QADA7KODYRBSTDQFHG57NOVHUI/
"소비 위축에 학원비도 줄였다… 사교육비 지출, 코로나 이후 첫 감소",,"최온정 기자
입력 2025.12.21. 11:12
서울 양천구 목동 학원가 모습. /뉴스1
자녀가 있는 가구의 사교육비 지출이 신종 코로나바이러스 감염증(코로나19) 확산기 이후 처음으로 감소한 것으로 나타났다. 소비 위축이 사교육비 지출에도 영향을 미친 것으로 풀이된다.
21일 국가통계포털(KOSIS)에 따르면, 올해 3분기 미혼 자녀가 있는 부부 가구의 월평균 학생 학원 교육비 지출은 41만3000원으로, 1년 전보다 0.7% 줄었다. 자녀가 있는 가구의 학원 교육비가 전년 동기 대비 감소한 것은 2020년 4분기 이후 5년 만이다.
학원비 지출 감소는 전반적인 소비 위축과 맞물려 있다. 올해 3분기 미혼 자녀가 있는 가구의 평균소비성향은 68.0%로, 전년 대비 2.3%포인트(p) 하락했다. 평균소비성향은 처분가능소득 대비 소비지출 비율을 의미하며, 처분가능소득은 소득에서 세금 등 비소비지출을 제외한 금액이다.
미혼 자녀가 있는 가구의 월평균 처분가능소득은 666만1000원으로 1년 전보다 5.3% 증가했지만, 소비지출은 453만2000원으로 1.9% 늘어나는 데 그쳤다.
English 기사보기
최온정 기자
오늘의 핫뉴스
""엔진만큼은 한국산 써"" 中 수주에 韓이 신바람 난 이유
용인도 비상인데 호남 어쩌나, 반도체 클러스터에 닥친 시련
하이닉스와 다른 길 택했다… 삼성이 띄운 'HBM 승부수'
""암세포 스스로 죽게 한다"" 불가능을 가능으로 바꾼 韓 기업
2조 넘게 사더니 또 ""2900억""… 삼성重 선박에 빠진 美 큰손
정책 많이 본 뉴스
[정책 인사이트] '지역화폐로 성과급 지급' 법안 논란… '현금 지급 원칙'과 충돌
신임 국무조정실장에 임기근 예산처 차관
'800兆 반도체 클러스터' 광주 군공항 부지에 짓는다
당신이 좋아할 만한 콘텐츠
초고화질 그래픽으로 구현된 광활한 우주 전선을 지금 탐험하세요.
파운데이션: 우주 전선
손담비, 여행 숙소서 딸과 비눗방울 놀이… 민폐 논란에 “제 부주의” 사과
충격! 발톱무좀이라면 모르면 절대안되는 팩트!
하루만 버티자
신계숙, 혜은이와 통화 중 ""남자와 동거를 시작했다"" 폭탄 발언 (같이 삽시다)
프랑스에서 깜짝 놀란 'OOO 다이어트', 갱년기 뱃살 걱정 뚝..
혜찌니
'임신' 진아름, ♥남궁민 첫 고백 단칼 거절…""두달간 표현했는데도"" ('옥문아들')
100자평
도움말삭제기준",https://biz.chosun.com/policy/policy_sub/2025/12/21/URDLX4SDVNA5RJVOFF23W4JOYI/
"South Korea's FDI Slump, Dollar Export Settlements Decline",,"By Choi On-jung(ChosunBiz)
Published 2025.12.21. 10:54
It has been identified that the performance in attracting foreign direct investment (FDI), which helps expand the dollar supply, has been sluggish. FDI refers to foreign investors establishing factories domestically or acquiring management rights with the purpose of participating in the management of Korean companies. This process leads to an inflow of dollars, resulting in a decrease in the won-to-dollar exchange rate.
According to the Ministry of Data and Statistics, the former Statistics Korea, National Statistical Portal, KOSIS, on the 21st, this year’s third-quarter FDI attraction performance (based on reports) was approximately $7.57 billion, 23.1% less than a year ago. Looking at the quarterly growth rates, it has decreased for three consecutive quarters since the first quarter of this year (-9.2%).
The rate of decrease was 9.2% in the first quarter, 19.1% in the second quarter of this year, and further increased in the third quarter. Accordingly, the cumulative FDI amount from the first to third quarters of this year is around $20.67 billion. This is a reduction of approximately $4.51 billion (17.9%) compared to the same period last year.
The ratio of receiving dollars through exports has also decreased. According to the Bank of Korea’s balance of payments statistics, the proportion of export payments settled in dollars in the second quarter of this year was 83.5% of total exports, down 0.9 percentage points from a year ago. Meanwhile, settlements in Korean won increased by 0.9 percentage points to 3.5%, and those in euros rose by 0.1 percentage points to 6.2%.
Meanwhile, the government is implementing various measures to increase the supply of US dollars by promoting foreign investment in the country. To prevent commercial banks from hoarding foreign currency, it has decided to temporarily postpone until June next year the supervisory measures applied to financial institutions that fail the foreign currency liquidity stress test.
The foreign currency liquidity stress test is a system that evaluates whether financial institutions can withstand a crisis situation where foreign currency funds rapidly outflow. For a certain period, foreign currency inflows must exceed outflows without fail each day. If this is not met, the institutions must submit a liquidity expansion plan to the supervisory authorities.
· This article has been translated by Upstage Solar AI.
원문보기 (View Original Korean Article)
Editor’s Pick
Korean Stock Market Volatility Hits Record High
 3h ago
|
Choi Hyung-seok
Ex-Ssangbangwool Chairman Faces Retrial in North Korea Bribery Case
 2h ago
|
Kim Hyun-soo
Volkswagen Plans Record 100,000 Job Cuts in Restructuring
 2h ago
|
Han Ye-na",https://www.chosun.com/english/market-money-en/2025/12/21/ZU5G3HZS65GB3FVI6RDSGP7CH4/
FDI inflows drop while dollar settlements and export dollar share decline in Korea,,"By 
Choi On-jung
Published 2025.12.21. 10:52
Foreign direct investment (FDI), which helps expand the supply of dollars, was found to be sluggish. FDI refers to foreign investors establishing factories in Korea or acquiring management control for the purpose of participating in the management of Korean corporations. In this process, dollars flow in, which has the effect of pushing down the won-dollar exchange rate.
According to the Korean Statistical Information Service (KOSIS) of the National Data Office (formerly Statistics Korea) on the 21st, FDI attraction performance (based on filings) in the third quarter of this year was about $7.57 billion, down 23.1% from a year earlier. Looking at the quarterly growth rate, it fell for three straight quarters starting with the first quarter of this year (-9.2%).
An employee organizes U.S. dollars at the counterfeit response center at Hana Bank in Jung District, Seoul, on the 17th. /Courtesy of Yonhap News
The rate of decline was 9.2% in the first quarter of this year and 19.1% in the second quarter, and it grew larger in the third quarter. As a result, the cumulative FDI amount for the first to third quarters of this year stands at $20.67 billion. It shrank by about $4.51 billion (17.9%) from the same period last year.
The share of exports settled in dollars also fell. The Bank of Korea's balance of payments statistics show that the share of export proceeds settled in dollars in the second quarter of this year was 83.5% of total exports, down 0.9 percentage point (p) from a year earlier. In contrast, won settlements rose 0.9 percentage point to 3.5%, and euro settlements increased 0.1 percentage point to 6.2%.
초고화질 그래픽으로 구현된 광활한 우주 전선을 지금 탐험하세요.
파운데이션: 우주 전선
지금 플레이하기
Meanwhile, the government is rolling out various measures to increase dollar supply, including promoting foreign investment in Korea. To keep commercial banks from hoarding foreign currency, it decided to temporarily defer until June next year the supervisory measures applied to financial institutions that fail the foreign currency liquidity stress test.
The foreign currency liquidity stress test is a system that assesses whether a financial company can endure a crisis scenario in which foreign currency funds rapidly flow out. Over a set period, foreign currency inflows must exceed outflows every single day, and if this is not met, the institution must submit a liquidity augmentation plan to the supervisory authorities.
※ This article has been translated by AI. Share your feedback here.
View Original Article(Korean)
고현정 몸매비결 '이것' 따라하고 ""묵은 뱃살"" 운동안해도 빠져..!
연예인 폭풍감량비법 - 슬림웨이
더 알아보기
운동안하고 '체지방' 감소돼 깜짝! 고현정 '폭풍감량'으로 화제된 ""이것""
연예인 폭풍감량비법 - 슬림웨이
더 알아보기
""공복혈당"" 300넘는 심각 당뇨환자 ""이것"" 먹자마자..바로
혈당흡수 억제물질발견
Choi On-jung
What to Read Next
Gas turbine crunch threatens South Korea semiconductor cluster power plans
As construction of natural gas power plants increases worldwide, a shortage of gas turbines—the core equipment—is worsening. It is...
Peptron expands Lilly collaboration to next-gen GLP-1 and Alzheimer's research
Korea's bio corporations Peptron and U.S. drugmaker Eli Lilly and Company have expanded their ongoing joint research on a once...
Namkoong Min drama 'The Husband' rises in ratings but Manager Kim dominance persists
'The Husband' set a new personal best rating just two episodes in, signaling a real upward trend. But the wall posed by SBS's Frid...
Kimmich laments Italy missing World Cup, praises Italian players
German national team midfielder Joshua Kimmich (31, Bayern Munich) expressed deep regret over Italy's failure to qualify for the 2...
Japanese reporter exposes Korea football discord as Son Heung-min leadership falters
Son Heung-min (34, LAFC), Kim Min-jae (30, Bayern Munich), Lee Kang-in (25, Paris Saint-Germain), Hwang Hee-chan (30, Wolverhampto...
'당화혈색소' 8.1넘은 심각 당뇨환자 ""이것"" 먹자마자..바로!
혈당흡수 억제물질발견
틀니가 불편하다면 다른 방법도 있다? 튼튼한 임플란트 1개당 ""20만원""부터
실력으로 입소문난 강남치과
공복혈당 치솟던 ''심각환자'', '이것' 먹자마자 수치 뚝! 실제후기 쏟아져..
성균관대 연구 신물질
Miss Finland stripped of crown after racist gesture and remarks - CHOSUNBIZ
Son Ah-seop exposes Hwang Jae-kyun dating history, Hwang confirms divorce - CHOSUNBIZ
Detectives expose motel kidnapping and murder after rural garden reveals victim - CHOSUNBIZ",https://biz.chosun.com/en/en-policy/2025/12/21/5NND46EWSJBFBKEGKOGHL6A4EA/
