TBL_NM,ORG_ID,TBL_ID,분류축,항목_예시(최대5개),항목_전체개수,단위
경영주 연령별 농가,101,DT_1EA1019,경지규모 영농형태 시도별,"계(T00), 20세미만(T01), 20~24세(T02), 25~29세(T03), 30~34세(T04)",15,가구
전겸업별 농가,101,DT_1EA1013,경지규모 영농형태 경영주연령 판매금액 행정구역별,"농가(T00), 전업(T01), 겸업(T02), 1종 겸업(T03), 2종 겸업(T04)",5,가구
경지규모별 농가,101,DT_1EA1015,영농형태 전겸업 소유형태 시도별,"농가(T00), 경지없는 농가(T01), 경지있는 농가(T02), 0.1ha 미만(T03), 0.1~0.2ha 미만(T04)",17,가구
밭경영규모별 농가,101,DT_1EA1017,규모 소유형태 경영주연령 판매금액 시도별,"밭있는 농가(T00), 0.1ha 미만(T01), 0.1~0.2ha 미만(T02), 0.2~0.3ha 미만(T03), 0.3~0.5ha 미만(T04)",14,가구
가구원수별 농가,101,DT_1EA1020,경지규모영농형태 시도별,"계(T00), 1인(가구)(T01), 2인(가구)(T02), 3인(가구)(T03), 4인(가구)(T04)",10,가구
영농형태별 농가,101,DT_1EA1018,경지규모전겸업 경영주성별 행정구역별,"계(T00), 논벼(T01), 식량작물(T02), 채소·산나물(T03), 특용작물·버섯(T04)",10,가구
과수 재배 작물별 농가,101,DT_1EA1038,경지규모 영농형태 시도별,"농가(T00), 과수재배 농가(T001), 사과(T01), 배(T02), 복숭아(T03)",14,가구
"출생아수, 합계출산율, 자연증가 등",101,INH_1B8000F_01,기본항목별,인구동태건수 및 동태율 추이(T1),1,확인 불가
소비자물가지수(2020=100),101,DT_1J22003,시도별,소비자물가지수(총지수)(T),1,2020＝100
월별 소비자물가 등락률,101,DT_1J22042,지수종류,"전월비(T02), 전년동월비(%)(T03), 전년누계비(%)(T04)",3,%
전국 연령별/교육분류(영역)별 취업자 및 고용률,101,DT_1ES3D11J,교육분류(영역)별; 연령,"취업자(T1), 고용률(T2)",2,천명
"국가별 수출액, 수입액",360,DT_1R11006_FRM101,국가별,"수출액(13103103829T1), 수입액(13103103829T2)",2,천달러
"국내총생산과 지출(명목, 연간)",301,DT_200Y113,계정항목별,국내총생산과 지출(명목 연간)(13103136289999),1,십억원
[사회일반] 주관적 만족도(13세 이상 인구),101,DT_1SSSP020R,특성별; 행정구역별,"계(T00), 매우 만족(T11), 약간 만족(T12), 보통(T20), 약간 불만족(T31)",6,확인 불가
[범죄안전] 범죄발생 및 검거,110,DT_A11001_2009_1604,범죄유형별; 행정구역별,"발생(16110CT100), 검거(16110CT1011)",2,건
"[소득소비자산] 가구당 월평균 가계수지(전국,1인이상)",101,DT_1L9U101,가계수지항목별,"전체가구(T110), 근로자가구(T120), 근로자외가구(T150)",3,원
"[보건] 사망자수, 조사망률, 기대수명",101,INH_1B8000F_02,기본항목별,인구동태건수 및 동태율 추이(T1),1,확인 불가
[복지] 국민기초생활보장수급자 및 등록장애인,110,DT_110001_A045,기초생활보장대상자및장애인별; 행정구역별,기초생활보장 대상자 및 장애인 등록률(00),1,확인 불가
[교육훈련] 학교급별 사교육비 총액,101,DT_1PE003,특성별,"전체(T01), 초등학교(T02), 중학교(T03), 고등학교(T04), 일반고(T05)",5,억원
[문화여가] 여가활동 유형(문화예술관람활동),113,DT_113_STBL_1028353,통계분류,"표본수(13103126205T1), 영화관람(13103126205T2), 박물관 관람(13103126205T3), 미술관 관람(13103126205T4), 연예공연 관람(13103126205T5)",10,%명
[주거] 유형별 주택매매가격지수(2011.6=100),408,DT_304N_04_00001,주택유형별; 지역,가격지수(16304304_01),1,확인 불가
[국토이용] 지목별 토지현황,110,DT_110001_A006,토지지목별; 행정구역별,지목별 토지현황(H001),1,㎡
[경제일반경기] 총괄표 실적 SBHI,340,DT_D10100A,구분별,실적 SBHI(1634013103124559T1),1,확인 불가
[기업경영] 성장성 지표,301,DT_501Y005,계정항목별; 기업규모별; 업종코드별,성장성 지표(제11차 한국표준산업분류 2009~)(13103134632999),1,확인 불가
[수산] 어업생산동향 총괄표,101,DT_1EW0001,어업별; 판매형태별; 행정구역별,"생산량:계(T01), 생산량:활어(T02), 생산량:선어(T03), 생산량:냉동(T04), 생산금액:계(T05)",8,확인 불가
[광업제조업] 시도(시군구)/산업분류별 주요지표(10명 이상),101,DT_1FS1101,산업별; 시도별,"사업체수(T01), 종사자수(T02), 급여액(T03), 출하액(T04), 주요생산비(T05)",7,개
[건설] 발주자/공종별 건설수주액(경상),101,DT_1G1B002,공종별; 발주자별,수주액(T10),1,백만원
[교통물류] 자동차 등록대수,110,DT_110001_A029,자동차등록별; 행정구역별,자동차 등록대수(00),1,대
[정보통신] 인터넷 이용률,127,DT_MH001_MI002,이용여부별; 특성별,인터넷 이용률(13103112704T1),1,%
[과학기술] 연구개발비 및 GDP 대비 연구개발비 비율,127,DT_KBA0001,연구개발비및GDP별,연구개발비 및 GDP 대비 연구개발비 비율(T001),1,백만원
[도소매서비스] 산업별 서비스업생산지수(2020=100.0),101,DT_1KC2020,업종별,"경상지수(T1), 불변지수(T2), 계절조정지수(T3)",3,2020＝100
[임금] 고용형태별 임금 및 근로시간,118,DT_118N_LCE0001,고용형태,"총근로일수(13103732814DD_1), 총근로시간(13103732814DD_2), 소정실근로시간(13103732814DD_3), 초과근로시간(13103732814DD_4), 휴일근로시간(16118DD_13)",13,일
[정부재정] 1인당 지방세 부담액 및 지방재정자립도,110,DT_110001_A012,행정구역별,"지방세(결산징수실적)(H001), 1인당지방세부담액(H003), 세대당지방세부담액(H005), 재정자립도(결산기준)(H014), 주민등록인구수(등록외국인 제외)(H002)",6,천원
"[금융] 금융기관예금, 대출 및 어음",110,TX_11001_A031,예금대출및어음별; 행정구역별,금융기관예금 대출 및 어음(16110AAF0),1,십억원
[환경] 폐기물 발생량 및 재활용률,110,DT_110001_A051,폐기물별; 행정구역별,폐기물 발생량 및 재활용률(T001),1,확인 불가
[에너지] 전력소비량,110,DT_110001_A025,전력소비별; 행정구역별,전력소비량(00),1,MWh
[지역통계] 시도별 경제활동별 지역내총생산,101,DT_1C91,경제활동별; 시도별,"명목(T1), 실질(T2), 실질기여도(T3)",3,백만원 %p
