gold_no,gold_domain,selection_reason,selection_bucket,source_status,claim_id,article_id,title,date,url,claim_text,metric,org_id,tbl_id,obj_l1,obj_l2,itm_id,prd_se,refined_claim_type,refined_claim_number,actual_period,actual_prev_period,refined_actual_number,refined_verdict,api_error,reviewer_note,manual_kosis_evidence,remap_kosis_evidence
33,고용,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C14392,1897,"자체 한국어 시험, 식당엔 스리라차… K조선소 ‘다문화 용광로’ 변신",2025-05-26,https://www.chosun.com/economy/industry-company/2025/05/26/HRLHD3WEMRDOVDOYQMCGEETZJU,"특히 최근 새로 채용되는 인력의 80%가 외국인이라, 비율은 더 가파르게 늘 전망이다.",고용지표,101,DT_1DA7001S,0,,T30,Y,LEVEL,80.0,2025,2024,28768.9,불일치,,경제활동인구 총괄 취업자 후보 선택. 성별/취업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
34,고용,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C14427,1903,노인 고용률 OECD 1위지만...65세 근로자 3명 중 1명은 ‘단순 노무직’,2025-05-27,https://www.chosun.com/economy/economy_general/2025/05/27/NE3J4GIGIREKTLPROKLTL2NF3M,이 비율은 70세 재취업자의 경우 59.6%까지 증가했다.,고용지표,101,DT_1DA7001S,0,,T90,Y,CHANGE_RATE,59.6,2025,2024,0.3189792663476806,불일치,,경제활동인구 총괄 후보 선택. 성별/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
35,고용,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C15966,2096,내수 부진에 숙박·음식업 취업자 3년 반 만에 최대폭 감소,2025-06-11,https://www.chosun.com/economy/economy_general/2025/06/11/3665622P5ZDKJBVBGNZMUIVGTQ,"11일 통계청의 ‘2025년 5월 고용동향’에 따르면, 지난달 취업자는 2916만명으로 전년 동월 대비 24만5000명 증가했다.",고용지표,101,DT_1DA7001S,0,,T30,M,CHANGE_RATE,2916.0,202405,202305,0.2760514926201259,불일치,,경제활동인구 총괄 취업자 후보 선택. 성별/취업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
36,고용,기존 수동확정 근거 앵커,확정근거,검증완료_수동확정일치,C15980,2096,내수 부진에 숙박·음식업 취업자 3년 반 만에 최대폭 감소,2025-06-11,https://www.chosun.com/economy/economy_general/2025/06/11/3665622P5ZDKJBVBGNZMUIVGTQ,실업률은 2.8%로 집계됐다.,고용지표,101,DT_1DA7001S,0,,T80,M,LEVEL,2.8,202505,,2.8,일치,,경제활동인구 총괄 후보 선택. 실업률/실업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,202505 전체 실업률 2.8%로 주장 2.8%와 일치,
37,고용,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C15981,2096,내수 부진에 숙박·음식업 취업자 3년 반 만에 최대폭 감소,2025-06-11,https://www.chosun.com/economy/economy_general/2025/06/11/3665622P5ZDKJBVBGNZMUIVGTQ,"일도, 구직 활동도 하지 않은 채 그냥 시간을 보냈다는 ‘쉬었음’ 인구는 지난달 239만명으로 전년 동월 대비 5만6000명 증가했다.",고용지표,101,DT_1DA7001S,0,,T30,M,CHANGE_RATE,239.0,202405,202305,0.2760514926201259,불일치,,경제활동인구 총괄 취업자 후보 선택. 성별/취업자 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
38,고용,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C19439,2558,제조업 취업자 1년째 내리막에...‘쉬었음’ 20대 5년 만 최대,2025-07-16,https://www.chosun.com/economy/economy_general/2025/07/16/JJGWFZ2EF5BPZPOLN4O4NQHNLU,국제 비교 기준인 15~64세 고용률은 70.3%로 마찬가지로 6월 기준 역대 최대치를 보였다.,고용지표,101,DT_1DA7002S,20,,T90,M,LEVEL,70.3,202605,202604,59.4,불일치,,연령별 경제활동인구 총괄 후보 선택. 연령/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
39,고용,층화표본:판단불가,판단불가,판단불가_파라미터미확정,C19540,2569,"“그냥 쉬었다”는 20대, 5년 새 가장 많아",2025-07-17,https://www.chosun.com/economy/economy_general/2025/07/17/NDNGACBI4RAZJBDEMRKGKVA5KY,특히 20대 쉬었음 인구는 39만6000명으로 전년 동월 대비 2000명 늘었다.,인구지표,101,DT_1DA7300AS,,,T00,M,CHANGE_RATE,2000.0,,,,판단불가,obj_l1/itm_id 미확정으로 API 조회 보류,청년층 고용보조지표 후보 선택. 쉬었음 항목 포함 여부 확인 필요 | 고용보조지표 세부항목 코드 직접 확인 필요,,
40,고용,기존 수동확정 근거 앵커,확정근거,검증완료_재매핑확정일치,C19960,2638,한국서 희망 못 찾는 20대… 취업자 2년 11개월째 감소,2025-10-18,https://www.chosun.com/economy/economy_general/2025/10/18/GSSQHOVG2FAW7LHONSQ4KIKFEY/,20대 고용률은 지난해 9월(-0.2%포인트) 이후 13개월 연속 오르지 못하고 있다.,고용지표,101,DT_1DA7002S,20,,T90,M,POINT_CHANGE,-0.2,202509,202409,-0.2,일치,,경제활동인구 총괄 후보 선택. 성별/고용률 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,"20대 고용률 202409 60.9% -> 202509 60.7%, 전년동월 대비 -0.2%p로 주장과 일치","20대 고용률 202409 60.9% -> 202509 60.7%, 전년동월 대비 -0.2%p로 주장과 일치"
41,무역,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C00078,6,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,24 한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,LEVEL,6838.0,2024,2023,6836.09488,일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
42,무역,기존 수동확정 근거 앵커,확정근거,검증완료_수동확정일치,C00090,6,"2024년 수출, 6838억달러로 ‘역대 최대’ 경신",2025-01-01,https://www.chosun.com/economy/industry-company/2025/01/01/2UPTGREAPRAWRG4XUBRMLONSKY,◇12월 수출 6.6% 늘어난 614억달러...수출 증가율 5개월 만에 반등 한편 이날 동시에 발표된 지난 12월 수출액은 614억달러로 전년 동월 대비 6.6% 증가했다.,무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,M,CHANGE_RATE,6.6,202412,202312,6.576076126262444,일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,"202312 57,573,193 -> 202412 61,359,250천달러, 전년동월비 6.576%로 주장 6.6%와 일치",
43,무역,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C00515,57,"“보험사, 올해 경기 불확실성 확대로 인한 유동성 모니터링 강화해야”",2025-01-05,https://www.chosun.com/economy/money/2025/01/05/4RQQJHQPRSPR4FCEJPVQ2FVIJE,연구원은 올해 내수가 완만히 개선되는 가운데 수출 증가세가 둔화하면서 경제성장률은 작년에 비해 다소 하락한 2% 수준이 될 것으로 예상했다.,무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,CHANGE_RATE,2.0,2024,2023,8.127422520469521,불일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
44,무역,층화표본:판단불가,판단불가,판단불가_정확시점조회실패,C01375,191,“트럼프 2기 출범 후 일괄 관세 부과하면 한국 수출 큰 타격”,2025-01-15,https://www.chosun.com/economy/economy_general/2025/01/15/NGXOCXC67ZDMXJGBKFCDZHY77Q,한국의 수출 증가율(전년 동월 대비)은 지난해 7월 13.5%를 기록한 이후 계속해서 떨어져 지난 11월에는 1.4%로 둔화됐다.,무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,M,CHANGE_RATE,1.4,202411,202311,1.3094397536117452,일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
45,무역,층화표본:판단불가,판단불가,판단불가_API조회실패,C01491,204,환율 급등에… 지난달 수입 물가 1년 새 7% 올라,2025-01-16,https://www.chosun.com/economy/economy_general/2025/01/16/KFNWNIFDPZF53CYGWMZQWEYAJU,세부 품목 중에선 원산지인 브라질과 베트남의 가뭄 때문에 커피(95.4%) 수입 가격이 1년 전보다 크게 뛰기도 했다.,무역지표,301,DT_401Y015,13102134643ACC_CD.*AA,,13103134643999,Y,LEVEL,95.4,,,,판단불가,데이터 없음(응답은 성공했으나 매칭 실패),수입물가지수 후보 선택. 기본분류/통화 기준 항목 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
46,무역,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C01924,268,새해 첫 20일 수출 5.1%↓ 엿새 설 연휴로 1월 전체 수출 감소 가능성,2025-01-21,https://www.chosun.com/economy/economy_general/2025/01/21/I6KIDJTHINBDZJKIJQNJX7YJ5Q,"그 결과 작년 한 해 전체 수출액은 6838억달러로 1년 전 대비 8.2% 증가했고, 기존 역대 최대 규모였던 2022년 기록(6836억달러)을 깨고 역대 최대 수출 실적을 달성했다.",무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,CHANGE_RATE,8.2,2024,2023,8.127422520469521,일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
47,무역,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C02176,298,"저조한 내수에 계엄, 탄핵, 여객기 사고 여파까지…4분기 성장 0.1%",2025-01-23,https://www.chosun.com/economy/economy_general/2025/01/23/X67EMVNMCNF3PIODGNPUZMAQHU,"이에 따라 성장기여도는 순수출(수출-수입)이 -0.8%포인트에서 0.1%포인트로 올라간 반면, 내수의 성장기여도는 0.8%포인트에서 0%포인트로 떨어졌다.",무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,ABS_TO_ABS,0.0,2025,2024,709330045.0,불일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
48,무역,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C03779,478,"작년 경상수지 흑자 990억달러...전년보다 3배로↑,역대 두번째 규모",2025-02-06,https://www.chosun.com/economy/economy_general/2025/02/06/RO32ISHXHREYLO3V4B2GJHWXEI,작년 12월 수출은 전년보다 6.6% 늘어난 633억달러를 기록했다.,무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,M,LEVEL,633.0,202412,202411,613.5925,일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
49,무역,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C03850,489,경상수지 역대 둘째로 많은 흑자 낸 까닭은,2025-02-07,https://www.chosun.com/economy/economy_general/2025/02/07/JXWFUVYXYRFO3OXEWCPCGJUSGE,"작년 12월 수출은 633억달러로 전달보다 11.1%, 전년 같은 달보다 6.6% 뛰었다.",무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,M,LEVEL,633.0,202412,202411,613.5925,일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
50,무역,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C04067,513,美 보편관세 부과땐... 작년 한국 수출액의 1.9% 날아간다,2025-02-09,https://www.chosun.com/economy/industry-company/2025/02/09/Q7MADBZN2RG77FHRLLCOZSLZLA,"미국의 수입 상위 30국 중 칠레(-2.26%), 호주(-7.04%), 일본(-7.32%)에 이어 넷째로 적게 감소할 것으로 분석됐다.",무역지표,360,DT_1R11006_FRM101,13102103829E.US,,13103103829T1,Y,CHANGE_RATE,-7.32,2025,2024,-3.843459068703951,불일치,,국가별 수출입 후보 선택. 국가/수출입/시점 코드 확인 필요 | 국가 코드 자동선택: 미국,,
51,무역,기존 수동확정 근거 앵커,확정근거,검증완료_수동확정일치,C04394,555,‘무역 전쟁’ 먹구름… KDI도 성장률 전망 1.6%로 낮췄다,2025-02-12,https://www.chosun.com/economy/economy_general/2025/02/12/ET3EQF2MVBAHFFHKLSQYVTVVTM,지난해 수출은 전년 대비 8.2% 증가하며 역대 최대 실적을 기록했다.,무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,CHANGE_RATE,8.2,2024,2023,8.127422520469521,일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,"2023 632,225,824 -> 2024 683,609,488천달러, 8.127% 증가로 주장 8.2%와 일치",
52,무역,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C05519,706,트럼프 관세 위협에 벤츠·GM 美생산 확대 검토,2025-02-24,https://www.chosun.com/economy/auto/2025/02/24/SCJ4LVAVYFCW5BFH2DJMY2OKDI,"5 도널드 트럼프 미국 대통령이 최근 자동차 관세율을 25%로 예고한 가운데, 글로벌 자동차 업체들이 대응책 마련에 나서고 있다.",무역지표,360,DT_1R11006_FRM101,13102103829E.US,,13103103829T1,Y,LEVEL,25.0,2025,2024,122850915.0,불일치,,국가별 수출입 후보 선택. 국가/수출입/시점 코드 확인 필요 | 국가 코드 자동선택: 미국,,
53,무역,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C07664,970,지난달 IT 수출액 늘었지만… 對中 반도체 수출은 30% ‘뚝’,2025-03-16,https://www.chosun.com/economy/industry-company/2025/03/16/YTIMRXZ7Z5EUFFJHJSX6EFBY3U,"지역별로는 미국(11.5%), 베트남(15.6%), 대만(124.3%), 인도(54.9%) 등에서 ICT 수출이 증가했지만 중국(-19.6%), 유럽연합(-7.6%), 일본(-5.7%) 등에서는 감소했다.",무역지표,360,DT_1R11006_FRM101,13102103829E.US,,13103103829T1,Y,CHANGE_RATE,-5.7,2025,2024,-3.843459068703951,불일치,,국가별 수출입 후보 선택. 국가/수출입/시점 코드 확인 필요 | 국가 코드 자동선택: 미국,,
54,무역,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C08645,1120,"대미 수출의 27%, 車가 흔들린다… GM의 한국 공장 최대 타격",2025-03-28,https://www.chosun.com/economy/auto/2025/03/28/7PKR6UAHUZCMZOYVHUBNJ76PNU,"한국무역협회에 따르면, 지난해 대미 자동차 수출액은 347억달러(약 51조원)를 웃돌며 미국으로 향한 전체 수출(1278억달러)의 27.1%를 차지했다.",무역지표,360,DT_1R11006_FRM101,13102103829E.US,,13103103829T1,Y,LEVEL,1278.0,2024,2023,1277.61371,일치,,국가별 수출입 후보 선택. 국가/수출입/시점 코드 확인 필요 | 국가 코드 자동선택: 미국,,
55,무역,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C10172,1313,대기업 의존하던 中企… 이젠 K뷰티·첨단 장비 ‘독자 수출’,2025-04-11,https://www.chosun.com/economy/industry-company/2025/04/11/LZREOYA2CZCXVDFDG6FBQEH56A,"◇화장품, K중기 글로벌 진출의 ‘간판’ 작년 우리 중소기업의 화장품 수출액은 약 68억달러(약 9조9200억원)로, 국내 화장품 전체 수출(102억달러) 중 67%를 차지한다.",무역지표,360,DT_1R11001_FRM101,13102112831A.553,,13103112831T1,Y,LEVEL,102.0,2024,2023,98.29853,일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | 품목 세부 코드 필요: 총액 코드로 확정하지 않음 | 품목 코드 자동 후보: 향수 및 화장품,,
56,무역,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C10228,1318,美 소비자심리지수 4달째 급락… ‘인플레 우려’ 1981년 이후 최고치,2025-04-12,https://www.chosun.com/economy/industry-company/2025/04/12/PDKJXD54YJF6BF6LBD3WPDRYDQ,"트럼프 대통령은 중국산에 대해 총 145%의 관세를 부과하자, 중국은 미국산 수입품 관세를 125% 올려 대응했다.",무역지표,360,DT_1R11006_FRM101,13102103829E.US,,13103103829T2,Y,LEVEL,125.0,2025,2024,73366048.0,불일치,,국가별 수출입 후보 선택. 국가/수출입/시점 코드 확인 필요 | 국가 코드 자동선택: 미국,,
57,무역,층화표본:판단불가,판단불가,판단불가_API조회실패,C11172,1439,내달 제조업 경기 전망 30개월 만에 최저 기록,2025-04-21,https://www.chosun.com/economy/economy_general/2025/04/21/QNISFLMHSZFOFBXQI62EAJUKJ4,제조업 경기 전망 지수가 급격히 떨어진 주요 원인은 지난 2일(현지 시각) 발표된 트럼프발 상호 관세 폭풍 여파로 인해 생산과 수출 전망 모두 크게 나빠졌기 때문이다.,무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,Y,LEVEL,,2025,2024,709330045.0,판단불가,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
58,무역,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C18644,2442,트럼프 ‘관세 편지’ 막아라… 여한구 “올코트 프레싱”,2025-07-07,https://www.chosun.com/economy/industry-company/2025/07/07/HZCBGWGDLBALHLMVOALK74ZYJY,트럼프 대통령은 그 전날에도 기자들과 만난 자리에서 “관세율은 10~20%에서 60~70%까지 다양할 것”이라면서 새로운 관세율이 적용되는 시점으로는 “8월 1일”을 제시했다.,무역지표,360,DT_1R11001_FRM101,13102112831A.A,,13103112831T1,M,ABS_TO_ABS,70.0,202605,202604,87821386.0,불일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
59,무역,층화표본:판단불가,판단불가,판단불가_증감계산값없음,C19610,2584,6월 자동차 수출액 역대 최대… 시장 다각화 효과,2025-07-18,https://www.chosun.com/economy/industry-company/2025/07/18/C7ULQI2PJZHQFLSGFVXGFOJZBI,"2 지난달 한국의 대미(對美) 자동차 수출액은 지난해 6월보다 감소했으며, 4개월 연속 전년 동기 대비 마이너스였다.",무역지표,360,DT_1R11006_FRM101,13102103829E.00,,13103103829T1,M,CHANGE_RATE,,202406,202306,5.605904067413175,판단불가,,국가별 수출입 후보 선택. 국가/수출입/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
60,무역,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C20480,2705,3분기 수출 역대 최대… 美 관세 폭탄에도 반도체·지역 다변화로 선방,2025-11-10,https://biz.chosun.com/policy/policy_sub/2025/11/10/FJZFOVSDGBEVDPIJJYVIHAC63E/,"전기전자, 운송장비 부문에서 수출이 늘면서, 광·제조업 수출액은 전년도 3분기 대비 8% 증가했다.",무역지표,360,DT_1R11001_FRM101,13102112831A.7763,,13103112831T1,Q,CHANGE_RATE,8.0,202403,202402,3.8317872430658957,불일치,,품목별 수출입 후보 선택. 품목/수출입/시점 코드 확인 필요 | 품목 세부 코드 필요: 총액 코드로 확정하지 않음 | 품목 코드 자동 후보: 반도체 디바이스,,
61,인구,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C02004,279,작년 11월 출생아 14.6% 증가...2010년 이후 최대폭,2025-01-22,https://www.chosun.com/economy/economy_general/2025/01/22/HAHTAVPQ75BJXM4GWC4SNRKAZA,작년 1월부터 11월까지 출생아 수 22만94명으로 전년에 비해 3% 늘어났다.,인구지표,101,INH_1B8000F_01,11,,T1,M,LEVEL,3.0,2024,2023,238317.0,불일치,,출생아수/합계출산율 후보 선택. 기본항목/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
62,인구,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C02005,279,작년 11월 출생아 14.6% 증가...2010년 이후 최대폭,2025-01-22,https://www.chosun.com/economy/economy_general/2025/01/22/HAHTAVPQ75BJXM4GWC4SNRKAZA,출생아 수는 2015년 0.7% 증가했다가 2016년(-7.3%)부터 2023년(-7.7%)까지 8년 연속 감소했었다.,인구지표,101,INH_1B8000F_01,11,,T1,Y,CHANGE_RATE,-7.7,2023,2022,-7.68823288627772,일치,,출생아수/합계출산율 후보 선택. 기본항목/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
63,인구,층화표본:증감률재검토,증감률재검토,재검토필요_증감률불일치,C02109,292,11월 출생아 수 증가율 14.6%… 14년 만에 최고,2025-01-23,https://www.chosun.com/economy/economy_general/2025/01/23/JUAXRZRN6NBLFGZUGXBFXGPKOU,월별 출생아 수는 작년 7월(7.9%)부터 11월까지 5개월 연속으로 늘었다.,인구지표,101,INH_1B8000F_01,11,,T1,M,CHANGE_RATE,7.9,2024,2023,3.6034743596431738,불일치,,출생아수/합계출산율 후보 선택. 기본항목/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
64,인구,기존 정확시점 불일치 22건 포함,정확시점22,재검토필요_정확시점불일치,C02110,292,11월 출생아 수 증가율 14.6%… 14년 만에 최고,2025-01-23,https://www.chosun.com/economy/economy_general/2025/01/23/JUAXRZRN6NBLFGZUGXBFXGPKOU,연간 출생아 수는 2015년 0.7% 증가한 것을 마지막으로 2016년(-7.3%)부터 2023년(-7.7%)까지 8년 연속 감소했다.,인구지표,101,INH_1B8000F_01,11,,T1,Y,CHANGE_RATE,-7.7,2023,2022,-7.68823288627772,일치,,출생아수/합계출산율 후보 선택. 기본항목/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
65,인구,층화표본:수준값재검토,수준값재검토,재검토필요_수준값불일치,C02115,292,11월 출생아 수 증가율 14.6%… 14년 만에 최고,2025-01-23,https://www.chosun.com/economy/economy_general/2025/01/23/JUAXRZRN6NBLFGZUGXBFXGPKOU,혼인 건수는 작년 4월(24.6%)부터 8개월째 늘고 있다.,비율·증감률,101,INH_1B8000F_01,11,,T1,M,LEVEL,24.6,2024,2023,238317.0,불일치,,출생아수/합계출산율 후보 선택. 기본항목/시점 코드 확인 필요 | obj_l1/itm_id 자동 후보 입력,,
