review_priority,review_reason,review_batch,obj_candidate_count,itm_candidate_count,claim_id,article_id,title,date,url,claim_text,metric,metric_all,is_claim,population,prev_sentence,next_sentence,numbers,units,year,region,candidate_kosis_table,api_params,calculation,verifiable,org_id,tbl_id,obj_l1,itm_id,prd_se,reviewer_note,obj_l1_candidates,itm_id_candidates
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C01867,254,"한국은행, “올해 경제성장률 1.6~1.7%로 0.2%p 내려갈 듯”",2025-01-20,https://www.chosun.com/economy/economy_general/2025/01/20/OWWYOWVNL5GGVMJCFXODDXXTK4,이어 “건설투자도 12월 중 아파트 분양실적(2만1000호)이 당초 계획(2만5000호)를 17.2% 가량 하회하는 등 4분기 중 부진이 더 심화됐다”고 설명했다.,비율·증감률,비율·증감률; 날짜·시간,True,,"또 “작년 3분기 개선됐던 소비가 작년 4분기 중 회복세가 다시 약화됐다”며 “카드 사용액은 12월말부터 증가세가 빠르게 둔화됐고, 고가 비중이 높은 수입자동차 판매도 12월 중 더욱 위축됐다”고 했다.","다만, 수출은 견조한 인공지능(AI) 투자수요에 기반한 IT품목 등의 양호한 흐름이 이어져, 11월 전망에 대체로 부합했다고 설명했다.","[12, 17.2, 4]","['월', '%', '분']",[],[],종사자의 국제결혼중개업자 대상 교육 여부 : 2020년 1월 1일 ~ 12월 31일(tblId=DT_154017_24CC002000); 종사자의 국제결혼중개업자 대상 교육 여부 : 2021년 1월 1일 ~ 12월 31일(tblId=DT_154017_24CC002100); 종사자의 국제결혼중개업자 대상 교육 여부 : 2022년 1월 1일 ~ 12월 31일(tblId=DT_154017_24CC002200); 2019년 12월 말 기준 회원수: 미혼남자(평균)(tblId=DT_154017_20BB010); 2019년 12월 말 기준 회원수: 재혼남자(평균)(tblId=DT_154017_20BB011),,,판단불가,116,DT_MLTM_5557,13102133605A.0001,13103133605T1,M,"[Claude 검토] 아파트(공동주택) 분양실적 관련, KOSIS ""주택건설 분양실적(공동주택)"" 표로 판단, org_id/tbl_id 채움 | 분류축이 3개라 obj_l2 이상 추가 필요할 수 있음: 구분2, 레벨01",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C03640,459,"지난해 4분기 건설 실적 30조4492억, 10.1% 줄어",2025-02-05,https://www.chosun.com/economy/economy_general/2025/02/05/JMRUVADN6JAFPJR7IP44WMCCDE,지난 2023년 연간 건설 수주는 전년 대비 18.5% 감소했다.,비율·증감률,비율·증감률; 날짜·시간,True,,그래서 2023년 건설 수주가 부진했던 게 올해 실적 부진으로 이어질 수 있다는 분석이다.,"지난해 1분기도 건설수주는 전년 같은 기간 대비 15.6% 감소했고, 2분기(20.9%) 들어서야 반등했다.","[2023, 18.5]","['년', '%']",['2023'],[],아동의 지난 1년 동안의 무단결석 및 가출경험(9-17세)(tblId=DT_117074_2023_A124); 취업 여부 - 지난 1주간 수입 목적 일했는지 여부(tblId=DT_154013_24BB004600); 지난 1주간 경제활동 여부 및 주 평균 근무시간(tblId=DT_154013_24AA002500); 지난 한 해 동안 성혼한 나라 개수(tblId=DT_154017_24CC005200); 지난 1년 전 대비 성폭력 발생 위험 정도(tblId=DT_154012_012),,,판단불가,101,DT_1G1B045,0,T10,Y,"[Claude 검토] 2023년 연간 건설수주 전년대비 감소(18.5%), 건설수주액(계절조정) 표로 판단",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C03641,459,"지난해 4분기 건설 실적 30조4492억, 10.1% 줄어",2025-02-05,https://www.chosun.com/economy/economy_general/2025/02/05/JMRUVADN6JAFPJR7IP44WMCCDE,"지난해 1분기도 건설수주는 전년 같은 기간 대비 15.6% 감소했고, 2분기(20.9%) 들어서야 반등했다.",비율·증감률,비율·증감률; 날짜·시간,True,,지난 2023년 연간 건설 수주는 전년 대비 18.5% 감소했다.,기획재정부 관계자는 “경기 상황에 따라 올해 하반기 또는 내년 상반기 정도는 돼야 건설업 경기 회복세가 본격화할 것”이라고 전망했다.,"[1, 15.6, 2, 20.9]","['분', '%', '분', '%']",[],[],경영 성과 평가(전년 대비 체감)(tblId=DT_MLTM_7074); 전년 대비 임금 동향(tblId=DT_448001_A011); 전년 대비 고객사 수 증감 현황(tblId=DT_142018N_110); 소모성자재 납품업 경기수준(전년 대비)(tblId=DT_142018N_137); 전년 대비 당해년도 업황(tblId=DT_421001N_018),,,판단불가,101,DT_1G1B045,0,T10,Q,"[Claude 검토] 분기별 건설수주 증감(1분기 -15.6%, 2분기 +20.9%), 동일 표로 판단",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C03731,473,나 홀로 사장님 6년 만에 줄었다,2025-02-06,https://www.chosun.com/economy/economy_general/2025/02/06/ANXJDBUJYNBHJHZDLWZW6O2BT4,나 홀로 사장을 중심으로 자영업자가 줄면서 지난해 전체 근로자 중 자영업자 비율은 19.8%에 그쳤다.,비율·증감률,비율·증감률,True,자영업자,"3년 연속 증가세지만, 2022년(5만8000명)이나 2023년(5만4000명)보다 증가 폭은 줄었다.",1963년 통계 작성 이래 처음으로 20% 아래로 떨어진 것이다.,[19.8],['%'],[],[],자영업자(고용주)의 어려움(tblId=DT_154021_22AA002900); 자영업자(고용주)의 월평균 순수익(tblId=DT_154021_22AA003000); 현 사업 사업자금 조달방법(tblId=DT_43701N_063); 현 사업 사업자금 규모(tblId=DT_43701N_065); 현 사업 준비기간(tblId=DT_43701N_066),,,판단불가,101,DT_1DA7010S,00,T30,Y,"[Claude 검토] 전체 근로자 중 자영업자 비율(19.8%), 종사상지위별 취업자 표로 판단",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C03732,473,나 홀로 사장님 6년 만에 줄었다,2025-02-06,https://www.chosun.com/economy/economy_general/2025/02/06/ANXJDBUJYNBHJHZDLWZW6O2BT4,1963년 통계 작성 이래 처음으로 20% 아래로 떨어진 것이다.,비율·증감률,비율·증감률; 날짜·시간,True,,나 홀로 사장을 중심으로 자영업자가 줄면서 지난해 전체 근로자 중 자영업자 비율은 19.8%에 그쳤다.,,"[1963, 20]","['년', '%']",['1963'],[],"아르바이트 업무 내용, 급여, 근로 시간, 휴일 등의 내용이 포함된 근로계약서를 작성 여부(tblId=DT_MOGE_1540002794); 배달/운전 아르바이트 서류 작성 여부_배달 업무 및 수수료와 관련한 계약서(tblId=DT_MOGE_1540002853); 배달/운전 아르바이트 서류 작성 여부_산재보험 가입 제외 동의서(tblId=DT_MOGE_1540002854); b 인터넷경험: 개인 비방이나 악성 댓글 작성(tblId=DT_MOGE_3020300221); 서면 계약서 작성 여부(tblId=DT_154017_24AA003900)",,,판단불가,101,DT_1DA7010S,00,T30,Y,"[Claude 검토] 자영업자 비율 1963년 이래 최초 20% 미만(C03731 연결), 동일 표로 판단",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04750,601,빚 못 갚은 자영업자 중 60대 이상이 가장 많았던 이유,2025-02-16,https://www.chosun.com/economy/economy_general/2025/02/16/JPSR6CUW55HPNKX73PTUAYO4RA,3 고금리 기조와 함께 내수 침체가 길어지면서 작년 금융기관에 진 빚을 갚지 못한 자영업자가 35% 늘어난 것으로 집계됐다.,비율·증감률,비율·증감률,True,자영업자,,특히 60세 이상 고령층 자영업자의 경우 이 속도가 훨씬 빠르게 늘었다.,[35],['%'],[],[],자영업자(고용주)의 어려움(tblId=DT_154021_22AA002900); 자영업자(고용주)의 월평균 순수익(tblId=DT_154021_22AA003000); 현 사업 사업자금 조달방법(tblId=DT_43701N_063); 현 사업 사업자금 규모(tblId=DT_43701N_065); 현 사업 준비기간(tblId=DT_43701N_066),,,판단불가,101,DT_1PB_1011,11,T10,Y,"[Claude 검토] 자영업자 대출 연체 증가(35%), 통계청 일자리행정통계 ""개인사업자의 연체율 총괄"" 표로 판단",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04752,601,빚 못 갚은 자영업자 중 60대 이상이 가장 많았던 이유,2025-02-16,https://www.chosun.com/economy/economy_general/2025/02/16/JPSR6CUW55HPNKX73PTUAYO4RA,개인사업자의 대출 금액은 전년보다 7719억원(0.1%) 늘어난 것이다.,비율·증감률,비율·증감률; 금액,True,,개인사업자는 자영업자와 기업 대출을 보유한 개인을 뜻한다.,작년 말 기준 개인사업자 중 금융기관 대출액을 3개월 이상 연체한 사람은 전년보다 4만204명(35%) 늘어난 15만5060명으로 집계됐다.,"[7719, 0.1]","['억원', '%']",[],[],개인사업자의 대출 총괄(tblId=DT_1PB_1001); 개인사업자의 성별 대출(tblId=DT_1PB_1002); 개인사업자의 연령별 대출(tblId=DT_1PB_1003); 개인사업자의 산업분류별 대출(tblId=DT_1PB_1004); 개인사업자의 매출액별 대출(tblId=DT_1PB_1005),,,판단불가,101,DT_1PB_1001,11,T00,Y,"[Claude 검토] 개인사업자 대출금액 전년대비 증가, 통계청 ""개인사업자의 대출 총괄"" 표로 판단",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04753,601,빚 못 갚은 자영업자 중 60대 이상이 가장 많았던 이유,2025-02-16,https://www.chosun.com/economy/economy_general/2025/02/16/JPSR6CUW55HPNKX73PTUAYO4RA,작년 말 기준 개인사업자 중 금융기관 대출액을 3개월 이상 연체한 사람은 전년보다 4만204명(35%) 늘어난 15만5060명으로 집계됐다.,비율·증감률,비율·증감률; 인원수; 건수·개수,True,,개인사업자의 대출 금액은 전년보다 7719억원(0.1%) 늘어난 것이다.,총 대출액은 30조7248억원으로 전년보다 29.9% 늘어 30조원을 돌파했다.,"[3, 204, 35, 5060]","['개', '명', '%', '명']",[],[],"작년 임금 근로활동 여부(tblId=DT_KWMP_2020136); 작년 월 평균 임금(세전, 인센티브 제외)(tblId=DT_KWMP_2020006); 작년 연간 평균 인센티브(세전)(tblId=DT_KWMP_2020007); 작년 매출액(tblId=DT_111014_A071); 작년 대비 지역 내 불법체류 외국인 고용 규모 변화(tblId=DT_111014_B099)",,,판단불가,101,DT_1PB_1011,11,T10,Y,"[Claude 검토] 개인사업자 3개월 이상 연체자 수 증가, 동일 연체율 총괄 표로 판단",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04754,601,빚 못 갚은 자영업자 중 60대 이상이 가장 많았던 이유,2025-02-16,https://www.chosun.com/economy/economy_general/2025/02/16/JPSR6CUW55HPNKX73PTUAYO4RA,총 대출액은 30조7248억원으로 전년보다 29.9% 늘어 30조원을 돌파했다.,비율·증감률,비율·증감률; 금액,True,,작년 말 기준 개인사업자 중 금융기관 대출액을 3개월 이상 연체한 사람은 전년보다 4만204명(35%) 늘어난 15만5060명으로 집계됐다.,개인사업자의 빚 부담이 커진 것은 장기화하고 있는 내수 침체가 영향을 줬다는 분석이 나온다.,"[7248, 29.9, 30]","['억원', '%', '조원']",[],[],"9.8.29 100대 생활밀접업종 가동 사업자 현황Ⅱ(연령, 업종)(tblId=DT_133001_9829); 14.3.29 가구유형별 근로자 근로·자녀장려금 지급 현황 II(총급여액,지급규모)[2015~](tblId=DT_133N_14329A); 10-29-1. 기초자치단체별 부과징수 현황-동두천시(도세)(tblId=TX_11007_A313); 10-29-2. 기초자치단체별 부과징수 현황-동두천시(시세)(tblId=TX_11007_A317)",,,판단불가,101,DT_1PB_1001,11,T00,Y,"[Claude 검토] 개인사업자 총 대출액(30조7248억원), 동일 대출 총괄 표로 판단",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04758,601,빚 못 갚은 자영업자 중 60대 이상이 가장 많았던 이유,2025-02-16,https://www.chosun.com/economy/economy_general/2025/02/16/JPSR6CUW55HPNKX73PTUAYO4RA,60대 이상 개인사업자 중 채무불이행자 수는 2만795명에서 3만1689명으로 52.4%가 늘었다.,비율·증감률,비율·증감률; 인원수,True,60대,고령층 채무불이행자 수와 대출 잔액도 다른 연령대보다 빠르게 증가하고 있다.,대출 금액 역시 전년보다 2조7080억원(52.2%) 늘어난 7조8920억원을 기록했다.,"[795, 1689, 52.4]","['명', '명', '%']",[],[],건강체력 기준: 60대 이상 남자(tblId=DT_113_STBL_1012531); 건강체력 기준: 60대 이상 여자(tblId=DT_113_STBL_1012532); 노인체력 기준: 60대 이상 남자(tblId=DT_113_STBL_1012522); 노인체력 기준: 60대 이상 여자(tblId=DT_113_STBL_1012523); 60대 여가활동 참여비율 추이(tblId=DT_113_STBL_1014589),,,판단불가,101,DT_1PB_1013,11,T10,Y,"[Claude 검토] 60대 이상 개인사업자 채무불이행자 수 증가, 통계청 ""개인사업자의 연령별 대출 연체율"" 표로 판단 | 분류축이 2개라 obj_l2 이상 추가 필요할 수 있음: 연령별",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04759,601,빚 못 갚은 자영업자 중 60대 이상이 가장 많았던 이유,2025-02-16,https://www.chosun.com/economy/economy_general/2025/02/16/JPSR6CUW55HPNKX73PTUAYO4RA,대출 금액 역시 전년보다 2조7080억원(52.2%) 늘어난 7조8920억원을 기록했다.,비율·증감률,비율·증감률; 금액,True,,60대 이상 개인사업자 중 채무불이행자 수는 2만795명에서 3만1689명으로 52.4%가 늘었다.,이수진 금융연구원 선임연구위원은 “고령층은 생계형으로 창업하는 경우가 많아 상대적으로 수익성이 낮다 보니 경기 침체 국면에서 가장 큰 타격을 받은 것으로 보인다”고 설명했다.,"[7080, 52.2, 8920]","['억원', '%', '억원']",[],[],"금융기관예금, 대출 및 어음(2001~2008)(tblId=TX_11001_A031); 현재 사업을 운영하면서 자금조달(금융기관 대출, 임대료 등의 문제 포함)과 관련하여 어려움을 겪는 정도(tblId=DT_154021_N053); 개인사업자의 대출 총괄(tblId=DT_1PB_1001); 개인사업자의 성별 대출(tblId=DT_1PB_1002); 개인사업자의 연령별 대출(tblId=DT_1PB_1003)",,,판단불가,101,DT_1PB_1013,11,T10,Y,"[Claude 검토] 연령별 개인사업자 대출금액 증가(C04758 연결), 동일 표로 판단 | 분류축이 2개라 obj_l2 이상 추가 필요할 수 있음: 연령별",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04764,603,빚 못 갚은 자영업자 늘어…'생계형’ 60대 이상 52% 급증,2025-02-16,https://www.chosun.com/economy/money/2025/02/16/3Y7VKQ3MB67CFT6VFWD7V6FDAA,0 지난해 금융기관에 진 빚을 갚지 못한 자영업자가 35% 늘어난 것으로 집계됐다.,비율·증감률,비율·증감률,True,자영업자,,특히 60세 이상 고령층 증가율이 52%에 달했다.,[35],['%'],[],[],자영업자(고용주)의 어려움(tblId=DT_154021_22AA002900); 자영업자(고용주)의 월평균 순수익(tblId=DT_154021_22AA003000); 현 사업 사업자금 조달방법(tblId=DT_43701N_063); 현 사업 사업자금 규모(tblId=DT_43701N_065); 현 사업 준비기간(tblId=DT_43701N_066),,,판단불가,101,DT_1PB_1011,11,T10,Y,"[Claude 검토] 자영업자 대출 연체 증가(35%, C04750과 동일), 동일 연체율 총괄 표로 판단",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04765,603,빚 못 갚은 자영업자 늘어…'생계형’ 60대 이상 52% 급증,2025-02-16,https://www.chosun.com/economy/money/2025/02/16/3Y7VKQ3MB67CFT6VFWD7V6FDAA,특히 60세 이상 고령층 증가율이 52%에 달했다.,비율·증감률,비율·증감률,True,고령층,0 지난해 금융기관에 진 빚을 갚지 못한 자영업자가 35% 늘어난 것으로 집계됐다.,16일 신용평가기관 나이스평가정보가 국회 정무위원회 소속 더불어민주당 이인영 의원실에 제출한 ‘개인사업자 채무불이행자 현황’ 자료에 따르면 지난해 말 기준 개인사업자(자영업자·기업대출을 보유한 개인) 335만8956명의 금융기관 대출금액은 1122조7919억원으로 1년 새 7719억원이 늘었다.,[52],['%'],[],[],"연령별 경제활동상태(tblId=DT_1DE8031S); 연령/산업별 취업분포(11차)(tblId=DT_1DE8061_11); 연령/산업별 취업분포(10차,~2024)(tblId=DT_1DE8061); 연령/산업별 취업분포(9차,~2017)(tblId=DT_1DE8032S); 연령/직업별 취업분포(8차)(tblId=DT_1DE8063_8)",,,판단불가,101,DT_1PB_1013,11,T10,Y,"[Claude 검토] 60세 이상 고령층 연체 증가율(52%), 동일 연령별 연체율 표로 판단 | 분류축이 2개라 obj_l2 이상 추가 필요할 수 있음: 연령별",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04767,603,빚 못 갚은 자영업자 늘어…'생계형’ 60대 이상 52% 급증,2025-02-16,https://www.chosun.com/economy/money/2025/02/16/3Y7VKQ3MB67CFT6VFWD7V6FDAA,이 중 3개월 이상 연체한 개인사업자는 15만5060명으로 1년 전보다 4만204명(35%) 급증했다.,비율·증감률,비율·증감률; 인원수; 건수·개수; 날짜·시간,True,,16일 신용평가기관 나이스평가정보가 국회 정무위원회 소속 더불어민주당 이인영 의원실에 제출한 ‘개인사업자 채무불이행자 현황’ 자료에 따르면 지난해 말 기준 개인사업자(자영업자·기업대출을 보유한 개인) 335만8956명의 금융기관 대출금액은 1122조7919억원으로 1년 새 7719억원이 늘었다.,"이들이 진 빚은 30조7248억원으로, 전년 말보다 29.9%(7조804억원) 늘어났다.","[3, 5060, 1, 204, 35]","['개', '명', '년', '명', '%']",[],[],"가구소득 변화(1년 전과 비교하여, 19세 이상 가구주)(tblId=DT_1SSIC021R); 가구부채 변화(1년 전과 비교하여, 19세 이상 가구주)(tblId=DT_1SSIC022R); 1년 전과 비교한 체감환경(대기, 13세 이상 인구)(tblId=DT_1SSEN021R); 1년 전과 비교한 체감환경(수질, 13세 이상 인구)(tblId=DT_1SSEN022R); 1년 전과 비교한 체감환경(토양, 13세 이상 인구)(tblId=DT_1SSEN023R)",,,판단불가,101,DT_1PB_1011,11,T10,Y,"[Claude 검토] 3개월 이상 연체 개인사업자 수(15만5060명), 동일 연체율 총괄 표로 판단",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04768,603,빚 못 갚은 자영업자 늘어…'생계형’ 60대 이상 52% 급증,2025-02-16,https://www.chosun.com/economy/money/2025/02/16/3Y7VKQ3MB67CFT6VFWD7V6FDAA,"이들이 진 빚은 30조7248억원으로, 전년 말보다 29.9%(7조804억원) 늘어났다.",비율·증감률,비율·증감률; 금액,True,,이 중 3개월 이상 연체한 개인사업자는 15만5060명으로 1년 전보다 4만204명(35%) 급증했다.,고령층 자영업자의 채무 불이행은 심각하다.,"[7248, 29.9, 804]","['억원', '%', '억원']",[],[],경영 성과 평가(전년 대비 체감)(tblId=DT_MLTM_7074); 전년 대비 임금 동향(tblId=DT_448001_A011); 전년 대비 고객사 수 증감 현황(tblId=DT_142018N_110); 소모성자재 납품업 경기수준(전년 대비)(tblId=DT_142018N_137); 전년 대비 당해년도 업황(tblId=DT_421001N_018),,,판단불가,101,DT_1PB_1001,11,T00,Y,"[Claude 검토] 개인사업자 대출액 전년대비 29.9% 증가, 동일 대출 총괄 표로 판단",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C04771,603,빚 못 갚은 자영업자 늘어…'생계형’ 60대 이상 52% 급증,2025-02-16,https://www.chosun.com/economy/money/2025/02/16/3Y7VKQ3MB67CFT6VFWD7V6FDAA,"1년 동안 60대 이상 채무불이행자 수는 2만795명에서 3만1689명으로 52.4% 늘었고, 보유 대출금액 역시 5조1840억원에서 7조8920억원으로 52.2% 급증했다.",비율·증감률,비율·증감률; 금액; 인원수; 날짜·시간,True,60대,고령층 채무불이행자 수와 이들의 대출잔액의 증가세도 가팔랐다.,"고령층의 경우 생계형으로 창업하는 경우가 많아 상대적으로 수익성이 낮고, 경기 침체 국면에서 큰 타격을 받은 것으로 보인다.","[1, 795, 1689, 52.4, 1840, 8920, 52.2]","['년', '명', '명', '%', '억원', '억원', '%']",[],[],건강체력 기준: 60대 이상 남자(tblId=DT_113_STBL_1012531); 건강체력 기준: 60대 이상 여자(tblId=DT_113_STBL_1012532); 노인체력 기준: 60대 이상 남자(tblId=DT_113_STBL_1012522); 노인체력 기준: 60대 이상 여자(tblId=DT_113_STBL_1012523); 60대 여가활동 참여비율 추이(tblId=DT_113_STBL_1014589),,,판단불가,101,DT_1PB_1013,11,T10,Y,"[Claude 검토] 60대 이상 채무불이행자/대출금액 증가, 동일 연령별 연체율 표로 판단 | 분류축이 2개라 obj_l2 이상 추가 필요할 수 있음: 연령별",,
P0,주요 ID 4종이 채워져 있어 매핑 적합성 확인 후 API 검증 가능,1,0,0,C07301,919,"배우자에 10억, 자녀에 5억 이하 물려주면 상속세 안 낸다",2025-03-12,https://www.chosun.com/economy/economy_general/2025/03/12/FJROC62SMNF2DEPW5X35IAXW5E,지난 2023년 걷힌 상속세(8조5000억원)의 약 24% 수준이다.,비율·증감률,비율·증감률; 금액; 날짜·시간,True,,"공제 확대로 1조7000억원 정도의 세수 감소 효과가 예상되고, 유산취득세 도입으로 개별 상속인이 부담하는 실효세율이 낮아지면서 3000억원 정도의 세수 감소가 예상되기 때문이다.",공제가 늘어나며 과세 대상도 2023년 1만9900명의 절반 수준으로 줄어들 것으로 예상된다.,"[2023, 5000, 24]","['년', '억원', '%']",['2023'],[],아동의 지난 1년 동안의 무단결석 및 가출경험(9-17세)(tblId=DT_117074_2023_A124); 취업 여부 - 지난 1주간 수입 목적 일했는지 여부(tblId=DT_154013_24BB004600); 지난 1주간 경제활동 여부 및 주 평균 근무시간(tblId=DT_154013_24AA002500); 지난 한 해 동안 성혼한 나라 개수(tblId=DT_154017_24CC005200); 지난 1년동안 부모와의 문화예술 관람 및 여행(tblId=DT_1W2C14),,,판단불가,133,DT_133N_611,15133NSJ00,16133T2008_0479,Y,"[Claude 검토] 국세청 상속세 신고현황(연도별) 매칭, 2023년 상속세 총액 대비 비율 계산 필요 | 분류축이 2개라 obj_l2 이상 추가 필요할 수 있음: 상속세종류별",,
