claim_id,claim_measurement_id,claim_text,date,measurement_text,measurement_usage,claim_domain_scope,measurement_binding_source,measurement_role,measurement_indicator,measurement_item,value,unit,measurement_period,measurement_prd_se,in_ready,cand_tbl_ids,gold_verifiable,gold_measurement_correct,gold_org_id,gold_tbl_id,gold_obj_l1,gold_itm_id,gold_verdict,gold_actual_value,gold_label_version,gold_label_rule,gate_version
A0003-C002,A0003-C002-m1,국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,2025-01-01,1만30원,POLICY_VALUE,국내공식통계,claim_fallback,현재값,최저임금,-,10030,원,2025,Y,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C002,A0003-C002-m2,국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,2025-01-01,9860원,POLICY_VALUE,국내공식통계,claim_fallback,이전값,최저임금,-,9860,원,2025,Y,N,,N,N,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C002,A0003-C002-m3,국가 검진에 C형 간염도 포함 ▲ 최저임금 시간당 1만30원 =최저임금이 시간당 9860원에서 1만30원으로 1.7% 인상된다.,2025-01-01,1.70%,POLICY_VALUE,국내공식통계,claim_fallback,증감률,최저임금 인상률,-,1.7,%,2025,Y,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C003,A0003-C003-m1,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,2025-01-01,209만6270원,POLICY_VALUE,국내공식통계,claim_fallback,현재값,최저임금,-,2096270,원,202501,M,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C003,A0003-C003-m2,주 근로시간 40시간을 기준으로 환산한 월급은 209만6270원이다.,2025-01-01,40시간,CONDITION,국내공식통계,claim_fallback,참고값,주 근로시간,-,40,시간,202501,M,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C009,A0003-C009-m1,1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다.,2025-01-01,1년,CONDITION,해외통계·정책,claim_fallback,참고값,육아휴직 급여 수령 기간,-,1,년,2025,-,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C009,A0003-C009-m2,1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다.,2025-01-01,1800만원,POLICY_VALUE,해외통계·정책,claim_fallback,이전값,육아휴직 급여 총액,-,18000000,원,2025,-,N,,N,N,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C009,A0003-C009-m3,1년간 받을 수 있는 육아휴직 급여는 최대 1800만원에서 2310만원으로 오른다.,2025-01-01,2310만원,POLICY_VALUE,해외통계·정책,claim_fallback,현재값,육아휴직 급여 총액,-,23100000,원,2025,-,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C013,A0003-C013-m1,"골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.",2025-01-01,54세,CONDITION,국내공식통계,claim_fallback,참고값,국가건강검진 대상 연령,여성,54,세,2025,Y,N,,N,N,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C013,A0003-C013-m2,"골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.",2025-01-01,66세,CONDITION,국내공식통계,claim_fallback,참고값,국가건강검진 대상 연령,여성,66,세,2025,Y,N,,N,N,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C013,A0003-C013-m3,"골다공증 검사의 경우 기존엔 54, 66세 여성만 무료 검진을 받을 수 있었는데, 60세 여성도 검사 대상에 포함됐다.",2025-01-01,60세,CONDITION,국내공식통계,claim_fallback,현재값,국가건강검진 대상 연령,여성,60,세,2025,Y,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C015,A0003-C015-m1,지원 대상은 중위소득 150% 이하 가구이며 자녀 1인당 월 20만원을 만 18세까지 지원받는다.,2025-01-01,150%,CONDITION,해외통계·정책,claim_fallback,참고값,중위소득 비율,-,150,%,2025,Y,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C015,A0003-C015-m2,지원 대상은 중위소득 150% 이하 가구이며 자녀 1인당 월 20만원을 만 18세까지 지원받는다.,2025-01-01,20만원,POLICY_VALUE,해외통계·정책,claim_fallback,현재값,양육비 지원금액,-,200000,원,2025,Y,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C015,A0003-C015-m3,지원 대상은 중위소득 150% 이하 가구이며 자녀 1인당 월 20만원을 만 18세까지 지원받는다.,2025-01-01,18세,CONDITION,해외통계·정책,claim_fallback,참고값,지원 연령,-,18,세,2025,Y,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C031,A0003-C031-m1,▲ 맞벌이 가구의 근로장려금 수급 요건 완화 =맞벌이 가구가 근로장려금을 받기 위한 소득기준이 연 3800만원 미만에서 연 4400만원 미만으로 확대된다.,2025-01-01,3800만원,CONDITION,기타,claim_fallback,참고값,근로장려금 수급 요건 소득기준,-,38000000,원,2025,Y,N,,N,N,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C031,A0003-C031-m2,▲ 맞벌이 가구의 근로장려금 수급 요건 완화 =맞벌이 가구가 근로장려금을 받기 위한 소득기준이 연 3800만원 미만에서 연 4400만원 미만으로 확대된다.,2025-01-01,4400만원,CONDITION,기타,claim_fallback,참고값,근로장려금 수급 요건 소득기준,-,44000000,원,2025,Y,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C039,A0003-C039-m1,▲ 국가장학금 지원 대폭 확대 =국가장학금 I유형과 다자녀 장학금 지원 대상을 100만명에서 150만명으로 확대해 1인당 최대 100만원을 지원한다.,2025-01-01,100만명,POLICY_VALUE,해외통계·정책,claim_fallback,이전값,국가장학금 지원 대상 인원,-,1000000,명,2025,-,N,,N,N,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C039,A0003-C039-m2,▲ 국가장학금 지원 대폭 확대 =국가장학금 I유형과 다자녀 장학금 지원 대상을 100만명에서 150만명으로 확대해 1인당 최대 100만원을 지원한다.,2025-01-01,150만명,POLICY_VALUE,해외통계·정책,claim_fallback,현재값,국가장학금 지원 대상 인원,-,1500000,명,2025,-,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C039,A0003-C039-m3,▲ 국가장학금 지원 대폭 확대 =국가장학금 I유형과 다자녀 장학금 지원 대상을 100만명에서 150만명으로 확대해 1인당 최대 100만원을 지원한다.,2025-01-01,100만원,POLICY_VALUE,해외통계·정책,claim_fallback,목표값,1인당 최대 지원 금액,-,1000000,원,2025,-,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C040,A0003-C040-m1,"국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",2025-01-01,14만명,POLICY_VALUE,해외통계·정책,claim_fallback,이전값,국가근로장학금 수혜 인원,-,140000,명,2025,Y,N,,N,N,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C040,A0003-C040-m2,"국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",2025-01-01,20만명,POLICY_VALUE,해외통계·정책,claim_fallback,현재값,국가근로장학금 수혜 인원,-,200000,명,2025,Y,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C040,A0003-C040-m3,"국가근로장학금 수혜 대상은 14만명에서 20만명으로 확대되며, 주거안정장학금을 신설해 원거리 통학으로 어려움을 겪는 저소득 대학생에게 연간 최대 240만원을 지원한다.",2025-01-01,240만원,POLICY_VALUE,해외통계·정책,claim_fallback,목표값,주거안정장학금 지원금액,-,2400000,원,2025,Y,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C041,A0003-C041-m1,▲ 병 봉급 인상 =병 봉급을 병장 기준 월 125만원에서 150만원으로 늘린다.,2025-01-01,병장 기준 월 125만원,POLICY_VALUE,개별기업,claim_fallback,이전값,병 봉급,-,1250000,원,2025,Y,N,,N,N,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C041,A0003-C041-m2,▲ 병 봉급 인상 =병 봉급을 병장 기준 월 125만원에서 150만원으로 늘린다.,2025-01-01,병장 기준 월 150만원,POLICY_VALUE,개별기업,claim_fallback,현재값,병 봉급,-,1500000,원,2025,Y,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C043,A0003-C043-m1,장병 내일준비적금의 정부 지원금도 월 최대 40만원에서 55만원으로 오른다.,2025-01-01,40만원,POLICY_VALUE,개별기업,claim_fallback,이전값,정부 지원금,-,400000,원,2025,Y,N,,N,N,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C043,A0003-C043-m2,장병 내일준비적금의 정부 지원금도 월 최대 40만원에서 55만원으로 오른다.,2025-01-01,55만원,POLICY_VALUE,개별기업,hcx,현재값,정부 지원금,-,550000,원,2025,Y,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0003-C047,A0003-C047-m1,▲ 청년 대상 전기차 보조금 확대 =청년이 생애 첫 차로 전기 승용차를 구매하는 경우 국비 지원액의 20%를 추가 보조금으로 지원한다.,2025-01-01,20%,POLICY_VALUE,국내공식통계,hcx,증감률,전기차 보조금,-,20,%,2025,Y,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0004-C012,A0004-C012-m1,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.,2025-01-01,1012대,KOSIS_VALUE,해외통계·정책,hcx,현재값,로봇 밀도,-,1012,대,2023,Y,N,,N,N,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0004-C012,A0004-C012-m2,국제로봇연맹(IFR)에 따르면 2023년 우리나라는 직원 1만명당 로봇 1012대를 쓰는 나라였다.,2025-01-01,1만명,CONDITION,해외통계·정책,hcx,참고값,로봇 밀도,-,10000,명,2023,Y,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0004-C013,A0004-C013-m1,이미 우리나라는 로봇 밀도(공장 직원 한 명당 로봇수) 전 세계 1위 국가인 것이다.,2025-01-01,1위,KOSIS_VALUE,국내공식통계,hcx,현재값,로봇 밀도,-,1,위,2023,Y,N,,N,N,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0004-C015,A0004-C015-m1,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.,2025-01-01,1만명당 162대,KOSIS_VALUE,국내공식통계,hcx,현재값,로봇 보급률,-,162,대,-,-,N,,N,N,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0004-C015,A0004-C015-m2,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.,2025-01-01,1만명,CONDITION,국내공식통계,claim_fallback,참고값,로봇 보급률,-,10000,명,2025,Y,N,,N,Y,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0004-C015,A0004-C015-m3,전 세계 평균(1만명당 162대)의 6배가 넘는 수치다.,2025-01-01,전 세계 평균,KOSIS_VALUE,국내공식통계,hcx,참고값,로봇 보급률,-,6,배,-,-,N,,N,Y,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0004-C020,A0004-C020-m1,◇로봇 밀도 1위의 나라 로봇 밀도는 그 나라의 제조업이 얼마나 자동화됐는지 평가하는 기본 지표로 여겨진다.,2025-01-01,1위,KOSIS_VALUE,국내공식통계,hcx,현재값,로봇 밀도,-,1,위,-,-,N,,N,Y,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0004-C021,A0004-C021-m1,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",2025-01-01,1위,KOSIS_VALUE,국내공식통계,hcx,현재값,로봇 밀도 순위,-,1,위,-,-,N,,N,Y,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0004-C021,A0004-C021-m2,"우리나라는 로봇 밀도 1위 나라일 뿐 아니라, 지난 2018년 이후로 매년 5%씩 성장한 유일한 나라이기도 하다.",2025-01-01,5%,KOSIS_VALUE,국내공식통계,hcx,증감률,로봇 밀도 증가율,-,5,%,2018,Y,Y,1:DT_373002_001 | 2:DT_373002_002 | 3:DT_401001_001 | 4:DT_401N_012 | 5:DT_401N_008,N,Y,N,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0004-C044,A0004-C044-m1,이곳 관계자는 “로봇 자동화를 통해 생산량은 로봇을 들이기 이전보다 38% 올라갔고 원가도 45%가량 줄일 수 있었다”고 했다.,2025-01-01,38%,KOSIS_VALUE,개별기업,hcx,증감률,생산량 증가율,물티슈,38,%,-,-,N,,N,Y,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0004-C044,A0004-C044-m2,이곳 관계자는 “로봇 자동화를 통해 생산량은 로봇을 들이기 이전보다 38% 올라갔고 원가도 45%가량 줄일 수 있었다”고 했다.,2025-01-01,45%가량,KOSIS_VALUE,개별기업,hcx,증감률,원가 절감률,물티슈,45,%,-,-,N,,N,Y,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0004-C048,A0004-C048-m1,한국로봇산업진흥원에 따르면 2023년까지 로봇화에 뛰어든 우리 기업은 2524곳으로 지난 2019년보다 13%가량 증가했다.,2025-01-01,13%가량,KOSIS_VALUE,국내공식통계,hcx,증감률,로봇화에 뛰어든 기업 수,-,13,%,2019,Y,Y,1:DT_401001_005 | 2:DT_395N_I2021277 | 3:DT_395N_I2021268 | 4:DT_401001_001 | 5:DT_401N_012,Y,Y,401,DT_401001_005, A00,T001 ,불일치,2509/12%,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0004-C049,A0004-C049-m1,진흥원 관계자는 “아직 2024년 조사 결과가 나오진 않았지만 지난 3년보다 더 많은 증가율을 보였을 것으로 추정한다”고 했다.,2025-01-01,지난 3년,CONTEXT,국내공식통계,claim_fallback,참고값,로봇화에 뛰어든 기업의 기간,-,3,년,2024,Y,N,,N,N,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0005-C004,A0005-C004-m1,이는 지난해 443개보다 2개 늘어난 역대 최대 규모다.,2025-01-01,443개,KOSIS_VALUE,개별기업,hcx,이전값,통합한국관 참여 기업 수,-,443,개,2024,Y,N,,N,Y,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0005-C004,A0005-C004-m2,이는 지난해 443개보다 2개 늘어난 역대 최대 규모다.,2025-01-01,2개,KOSIS_VALUE,개별기업,hcx,증감값,통합한국관 참여 기업 증가 수,-,2,개,2025,Y,N,,N,Y,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0005-C006,A0005-C006-m1,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.",2025-01-01,445개사,KOSIS_VALUE,개별기업,hcx,현재값,참가 기업 수,통합한국관,445,개사,2025,Y,N,,N,Y,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0005-C006,A0005-C006-m2,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.",2025-01-01,455여개,KOSIS_VALUE,개별기업,hcx,현재값,참가 기업 수,중소·중견기업,455,개,2025,Y,N,,N,Y,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0005-C006,A0005-C006-m3,"올해 한국은 삼성, LG, 현대, SK 등 글로벌 대기업과 통합한국관 445개사, 기타 중소·중견기업 455여개를 포함한 약 900개사가 참가할 예정이다.",2025-01-01,900개사,KOSIS_VALUE,개별기업,hcx,현재값,참가 기업 수,전체 한국 기업,900,개사,2025,Y,N,,N,Y,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0005-C007,A0005-C007-m1,전체 한국 기업 참가 숫자도 지난해보다 100개가량 늘어난 최대다.,2025-01-01,100개가량,KOSIS_VALUE,개별기업,hcx,현재값,참가 기업 수,-,100,개,2025,Y,N,,N,N,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0006-C001,A0006-C001-m1,한국의 2024년 수출이 6838억 달러를 기록해 역대 최대실적을 달성했다고 1일 산업통상자원부가 밝혔다.,2025-01-01,6838억 달러,KOSIS_VALUE,국내공식통계,hcx,현재값,수출액,-,6.84E+11,달러,2024,Y,Y,1:DT_1R11001_FRM101 | 2:DT_1R11006_FRM101 | 3:DT_446001_A027 | 4:DT_434_STBL_1028692 | 5:DT_434_STBL_1028682,Y,Y,360,DT_1R11001_FRM101,13102112831A.A,13103112831T1,불일치,6836억 달러,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0006-C002,A0006-C002-m1,"이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",2025-01-01,6836억달러,KOSIS_VALUE,국내공식통계,hcx,이전값,수출액,-,6.84E+11,달러,2022,Y,N,,Y,Y,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0006-C002,A0006-C002-m2,"이전 최대 실적은 2022년 기록한 6836억달러인데, 이를 2년 만에 근소하게 경신한 것이다.",2025-01-01,2년,CONTEXT,해외통계·정책,hcx,참고값,기간,-,2,년,2022,Y,N,,N,N,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0006-C003,A0006-C003-m1,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",2025-01-01,6위,KOSIS_VALUE,국내공식통계,hcx,현재값,세계 수출 순위,-,6,위,2023,Y,N,,N,N,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0006-C003,A0006-C003-m2,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",2025-01-01,8위,KOSIS_VALUE,국내공식통계,hcx,이전값,세계 수출 순위,-,8,위,2023,Y,N,,N,Y,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0006-C003,A0006-C003-m3,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",2025-01-01,10대,KOSIS_VALUE,국내공식통계,hcx,현재값,상위 수출국,-,10,대,2024,Y,Y,,N,Y,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0006-C003,A0006-C003-m4,"이에 따라 2024년 1~9월 기준(WTO)으로 전 세계 수출순위도 2023년 8위에서 두 단계 상승한 6위를 달성했으며, 상위 10대 수출국 중 가장 높은 수출증가율(+9.6%)을 기록했다.",2025-01-01,9.60%,KOSIS_VALUE,국내공식통계,hcx,증감률,수출 증가율,-,9.6,%,2024,Y,Y,,N,Y,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0006-C004,A0006-C004-m1,무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,2025-01-01,621억 달러,KOSIS_VALUE,국내공식통계,hcx,현재값,무역수지 증감,-,62100000000,달러,2024,Y,Y,,Y,N,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0006-C004,A0006-C004-m2,무역수지는 전년 대비 621억 달러 개선된 518억 달러의 흑자를 기록했다.,2025-01-01,518억 달러,KOSIS_VALUE,국내공식통계,hcx,현재값,무역수지,-,51800000000,달러,2024,Y,Y,,Y,N,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0006-C005,A0006-C005-m1,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,2025-01-01,472억달러,KOSIS_VALUE,국내공식통계,hcx,이전값,수출액,-,47200000000,달러,2022,Y,N,,Y,N,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0006-C005,A0006-C005-m2,2022년 당시 수출액은 역대 최대를 기록하면서도 472억달러 적자를 냈던 것과 다른 결과다.,2025-01-01,2022년,CONDITION,국내공식통계,rule_fallback,참고값,수출액,-,2022,년,2024,Y,N,,N,N,,,,,,,v1,NON_KOSIS_USAGE_TO_N,trade_scope_v1
A0006-C006,A0006-C006-m1,2024년에는 에너지 수입이 감소하면서 전체 수입이 전년 대비 1.6% 감소한 덕에 무역수지가 개선됐다.,2025-01-01,1.60%,KOSIS_VALUE,국내공식통계,hcx,증감률,수입 증감률,-,1.6,%,2024,Y,Y,1:DT_1R11001_FRM101 | 2:DT_145009_026 | 3:DT_1R11006_FRM101 | 4:DT_145014_013 | 5:DT_14508_007,Y,Y,339,DT_F_Y160,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0006-C007,A0006-C007-m1,이에 2018년(697억 달러 흑자) 이후 최대 흑자를 기록하게 됐다.,2025-01-01,697억 달러,KOSIS_VALUE,국내공식통계,hcx,현재값,무역수지,-,69700000000,달러,2018,Y,Y,1:DT_1R11001_FRM101 | 2:DT_1R11001_FRM101_2019 | 3:DT_DEA0001_S10502 | 4:DT_DCA0001_S10502 | 5:DT_DBA0001_S10502,Y,Y,127,DT_127005_006,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0006-C009,A0006-C009-m1,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",2025-01-01,43.90%,KOSIS_VALUE,국내공식통계,hcx,증감률,반도체 수출 증감률,반도체,43.9,%,2024,Y,Y,1:DT_1R11001_FRM101 | 2:DT_134006_N001 | 3:DT_434_STBL_1028692 | 4:DT_434_STBL_1028682 | 5:DT_434_STBL_1028678,Y,Y,127,DT_127005_005,A020101,13103131003T1 ,불일치,42.5,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0006-C009,A0006-C009-m2,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",2025-01-01,1419억 달러,KOSIS_VALUE,국내공식통계,hcx,현재값,반도체 수출액,반도체,1.42E+11,달러,2024,Y,Y,1:DT_1R11001_FRM101 | 2:DT_134006_N001 | 3:DT_13405_004 | 4:DT_13405_003 | 5:DT_134006_N012,Y,Y,127,DT_127005_005,A020101,13103131003T1 ,불일치,1420억 달러,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
A0006-C009,A0006-C009-m3,"◇반도체, 자동차가 이끌고 바이오, 농수산, 화장품 등도 고르게 증가 품목별로는 최대 수출품목인 반도체가 43.9% 증가한 1419억 달러를 기록, 2023년 11월 이후 14개월 연속 증가 흐름을 이어가면서 기존 최대 실적인 2022년 1292억 달러를 2년 만에 경신했다.",2025-01-01,1292억 달러,KOSIS_VALUE,국내공식통계,hcx,이전값,반도체 수출액,반도체,1.29E+11,달러,2022,Y,N,,Y,Y,,,,,,,v1,HUMAN_LABEL_PRESERVED,trade_scope_v1
